Mol. wt.,JR Tm /K,EnthalpyFus,CRC Tm /K
336.4319999999995,602.31,47.08,394.15
152.19600000000003,335.62,17.5,362.55
44.05300000000001,154.3,3.23,149.74999999999997
135.16600000000005,308.93,17.13,387.5
150.18100000000007,361.59,22.13,403.15
102.08899999999996,345.37,17.86,309.65
75.06699999999998,275.71000000000004,11.63,363.15
170.21100000000007,346.57000000000005,19.11,325.15
85.10599999999997,263.07,4.3,254.15
120.15099999999994,256.27,12.12,292.54999999999995
131.131,394.3,21.93,398.15
179.17500000000007,493.32,29.47,529.65
223.2750000000001,481.02,29.39,466.15
173.21200000000013,443.11,33.23,377.65
164.16000000000005,440.66,24.46,387.65
164.16000000000005,440.66,24.46,481.15
122.94899999999998,222.03,7.82,176.64999999999998
163.19800000000006,430.75999999999993,25.98,382.65
26.038,100.14,3.76,191.65
62.04300000000001,162.82,5.62,189.15
117.10399999999996,398.03,22.87,479.15
191.2520000000001,451.24,31.24,387.65
191.2520000000001,451.24,31.24,378.65
309.2709999999997,796.1499999999999,51.12,459.15
180.15900000000005,433.06,27.23,461.65
178.18700000000007,321.14000000000004,21.67,322.15
235.28300000000013,392.61,30.92,366.15
166.24500000000006,314.46000000000004,18.45,354.65
223.2280000000001,600.06,37.3,426.15
159.18500000000012,401.84,23.59,437.15
194.23700000000008,507.93000000000006,27.06,514.15
209.2520000000001,603.71,31.87,558.15
71.07899999999998,255.0,9.04,358.15
53.06400000000001,186.8,3.75,189.64
221.3440000000002,319.89,35.71,296.15
269.77199999999976,433.55,35.28,315.15
364.91399999999976,561.8199999999999,30.54,376.95
180.1560000000001,443.48,19.93,401.15
180.1560000000001,443.48,19.93,401.15
180.1560000000001,443.48,19.93,401.15
142.15400000000008,259.15000000000003,18.57,188.15
57.09600000000002,205.07,7.44,184.95
110.19999999999992,189.06,9.13,162.54999999999998
131.131,300.16,20.89,330.15
206.2410000000001,339.26,24.38,303.65
134.17800000000005,327.57,17.61,288.95
180.1560000000001,443.48,19.93,376.65
180.1560000000001,443.48,19.93,376.65
180.1560000000001,443.48,19.93,376.65
227.33700000000016,581.99,38.37,356.75
74.08299999999997,328.75,12.93,340.65
136.15400000000005,424.04,19.53,456.15
181.147,635.8399999999999,35.22,633.15
122.17099999999996,374.11,17.93,334.15
