Property,Model,Kernel,Flag,LML
Hvap,1,Matern12,True, -116.10082729133143
Hvap,1,Matern12,False, -130.71183781799164
Hvap,1,Matern32,True, -104.5145307150292
Hvap,1,Matern32,False, -118.88073230067761
Hvap,1,Matern52,True, -103.40979429027959
Hvap,1,Matern52,False, -118.48338453206043
Hvap,1,RBF,True, -103.16920921955091
Hvap,1,RBF,False, -122.18151482029657
Hvap,1,RQ,True, -102.8302693097682
Hvap,1,RQ,False, -118.5556574405868
Hvap,2,Matern12,True, -205.71864827030038
Hvap,2,Matern12,False, -205.7186482264283
Hvap,2,Matern32,True, -221.08301829932452
Hvap,2,Matern32,False, -221.08301829934157
Hvap,2,Matern52,True, -220.78317608565908
Hvap,2,Matern52,False, -220.78317608566954
Hvap,2,RBF,True, -220.098806267067
Hvap,2,RBF,False, -220.09880626686487
Hvap,2,RQ,True, -220.09892667248948
Hvap,2,RQ,False, -220.09892659591077
Hvap,3,Matern12,True, -121.781673805568
Hvap,3,Matern12,False, -133.3070424008261
Hvap,3,Matern32,True, -106.92879509318288
Hvap,3,Matern32,False, -121.83167165910697
Hvap,3,Matern52,True, -105.92525661843052
Hvap,3,Matern52,False, -122.30445999182604
Hvap,3,RBF,True, -105.23258826272024
Hvap,3,RBF,False, -125.87971228071507
Hvap,3,RQ,True, -105.16860100771345
Hvap,3,RQ,False, -121.68712369074387
Hvap,4,Matern12,True, -111.26245713314552
Hvap,4,Matern12,False, -124.98214776637542
Hvap,4,Matern32,True, -102.4579663325531
Hvap,4,Matern32,False, -116.46641315243374
Hvap,4,Matern52,True, -101.08344688488887
Hvap,4,Matern52,False, -114.78612622078094
Hvap,4,RBF,True, -99.40143875216364
Hvap,4,RBF,False, -113.63385685998776
Hvap,4,RQ,True, -99.40178980073904
Hvap,4,RQ,False, -113.60510143053028
Pc,1,Matern12,True, -77.61983679533228
Pc,1,Matern12,False, -78.03702245070713
Pc,1,Matern32,True, -60.514708699907374
Pc,1,Matern32,False, -61.24944493984867
Pc,1,Matern52,True, -59.3034720012281
Pc,1,Matern52,False, -60.28989383235955
Pc,1,RBF,True, -58.98665440940499
Pc,1,RBF,False, -61.09686326213091
Pc,1,RQ,True, -58.714073070829954
Pc,1,RQ,False, -60.239504689194064
Pc,2,Matern12,True, -114.07298317981576
Pc,2,Matern12,False, -114.07298318146945
Pc,2,Matern32,True, -114.7165709064218
Pc,2,Matern32,False, -114.71657090642054
Pc,2,Matern52,True, -114.64145312304822
Pc,2,Matern52,False, -114.64145312305311
Pc,2,RBF,True, -114.54846844654446
Pc,2,RBF,False, -114.54846844654026
Pc,2,RQ,True, -114.54851985659559
Pc,2,RQ,False, -114.54852000034384
Pc,3,Matern12,True, -65.35827519164013
Pc,3,Matern12,False, -66.534094154478
Pc,3,Matern32,True, -57.23655332202645
Pc,3,Matern32,False, -57.26431788383832
Pc,3,Matern52,True, -55.285939442315794
Pc,3,Matern52,False, -55.35393204308468
Pc,3,RBF,True, -54.13257310398683
Pc,3,RBF,False, -54.13288396633777
Pc,3,RQ,True, -54.13270203511661
Pc,3,RQ,False, -54.133016857488656
Pc,4,Matern12,True, -61.28420888729215
Pc,4,Matern12,False, -62.17042244736979
Pc,4,Matern32,True, -56.13377812025101
Pc,4,Matern32,False, -56.13389954498018
Pc,4,Matern52,True, -54.361958830791764
Pc,4,Matern52,False, -54.38731709364595
Pc,4,RBF,True, -52.663150744645236
Pc,4,RBF,False, -52.6683890471694
Pc,4,RQ,True, -52.66352408160435
Pc,4,RQ,False, -52.668788006416094
Tb,1,Matern12,True, -1122.1418791499636
Tb,1,Matern12,False, -1122.6183753616178
Tb,1,Matern32,True, -1202.1597347381107
Tb,1,Matern32,False, -1202.5031791099996
Tb,1,Matern52,True, -1218.7647248732878
Tb,1,Matern52,False, -1219.6875225421154
Tb,1,RBF,True, -1246.2606619390972
Tb,1,RBF,False, -1247.2777637671807
Tb,1,RQ,True, -1209.4250430555003
Tb,1,RQ,False, -1209.4250680810678
Tb,2,Matern12,True, -2152.81147729834
Tb,2,Matern12,False, -2152.8107601910056
Tb,2,Matern32,True, -2351.9715907844084
Tb,2,Matern32,False, -2351.9715907994773
Tb,2,Matern52,True, -2427.0223753814425
Tb,2,Matern52,False, -2385.069393086437
Tb,2,RBF,True, -2444.260313717423
Tb,2,RBF,False, -2444.2603137140186
Tb,2,RQ,True, -1954.6139706771614
Tb,2,RQ,False, -1954.613967373819
Tb,3,Matern12,True, -1122.6373203380535
Tb,3,Matern12,False, -1123.0997807157091
Tb,3,Matern32,True, -1205.089072488469
Tb,3,Matern32,False, -1205.3186683296262
Tb,3,Matern52,True, -1222.90955957994
Tb,3,Matern52,False, -1223.621265952862
Tb,3,RBF,True, -1251.8822455350437
Tb,3,RBF,False, -1252.691570580243
Tb,3,RQ,True, -1207.4123881648761
Tb,3,RQ,False, -1207.4496318063939
Tb,4,Matern12,True, -1112.6397772387531
Tb,4,Matern12,False, -1113.4373851845367
Tb,4,Matern32,True, -1183.7982004656774
Tb,4,Matern32,False, -1184.2240085758121
Tb,4,Matern52,True, -1196.7468059522994
Tb,4,Matern52,False, -1197.7084655674048
Tb,4,RBF,True, -1209.9567109546733
Tb,4,RBF,False, -1211.299676867021
Tb,4,RQ,True, -949.7390116584602
Tb,4,RQ,False, -950.8411223944317
Tc,1,Matern12,True, -30.98495117844709
Tc,1,Matern12,False, -33.15050055641734
Tc,1,Matern32,True, -17.508109538728377
Tc,1,Matern32,False, -18.21830536775326
Tc,1,Matern52,True, -20.405095192365707
Tc,1,Matern52,False, -21.11447446571856
Tc,1,RBF,True, -26.667931152004485
Tc,1,RBF,False, -28.50757389376622
Tc,1,RQ,True, -21.633739978172684
Tc,1,RQ,False, -22.41210939892858
Tc,2,Matern12,True, -156.41265823658046
Tc,2,Matern12,False, -156.41265823276046
Tc,2,Matern32,True, -172.40215240777854
Tc,2,Matern32,False, -172.40215240773853
Tc,2,Matern52,True, -174.8097146242826
Tc,2,Matern52,False, -174.80971462429557
Tc,2,RBF,True, -178.48968150191627
Tc,2,RBF,False, -178.4896815032606
Tc,2,RQ,True, -129.21323916200527
Tc,2,RQ,False, -129.21323900037828
Tc,3,Matern12,True, -21.7274687554484
Tc,3,Matern12,False, -21.8281177286799
Tc,3,Matern32,True, -14.462293666814048
Tc,3,Matern32,False, -14.714139484148063
Tc,3,Matern52,True, -15.170603523859882
Tc,3,Matern52,False, -15.355637554107716
Tc,3,RBF,True, -18.797079382678476
Tc,3,RBF,False, -19.17394939101473
Tc,3,RQ,True, -15.758902682452117
Tc,3,RQ,False, -15.877451046780266
Tc,4,Matern12,True, -19.81151578141464
Tc,4,Matern12,False, -19.963911985854224
Tc,4,Matern32,True, -13.898367853847958
Tc,4,Matern32,False, -14.226214924441592
Tc,4,Matern52,True, -14.221806859354388
Tc,4,Matern52,False, -14.470278613953383
Tc,4,RBF,True, -17.000728775921402
Tc,4,RBF,False, -17.37237999034346
Tc,4,RQ,True, -14.736221870781264
Tc,4,RQ,False, -14.919986004958105
Tm,1,Matern12,True, -4077.219508077214
Tm,1,Matern12,False, -4078.1292648237877
Tm,1,Matern32,True, -4079.844558023833
Tm,1,Matern32,False, -4080.19780809448
Tm,1,Matern52,True, -4087.062008769419
Tm,1,Matern52,False, -4087.602545288867
Tm,1,RBF,True, -4099.955847152658
Tm,1,RBF,False, -4100.159678816515
Tm,1,RQ,True, -4085.0378190068213
Tm,1,RQ,False, -4085.5395287881624
Tm,2,Matern12,True, -5987.702170215619
Tm,2,Matern12,False, -5987.702169236774
Tm,2,Matern32,True, -6161.02268200818
Tm,2,Matern32,False, -6161.022682008258
Tm,2,Matern52,True, -6158.481251119714
Tm,2,Matern52,False, -6158.4812511197115
Tm,2,RBF,True, -6159.380656925952
Tm,2,RBF,False, -6159.380656926476
Tm,2,RQ,True, -6156.2852532966745
Tm,2,RQ,False, -6156.285253274621
Tm,3,Matern12,True, -4083.12475796771
Tm,3,Matern12,False, -4084.262144261771
Tm,3,Matern32,True, -4083.843884410646
Tm,3,Matern32,False, -4084.1339428323317
Tm,3,Matern52,True, -4094.5978494527926
Tm,3,Matern52,False, -4094.9180863336933
Tm,3,RBF,True, -4109.82021710223
Tm,3,RBF,False, -4110.551543604357
Tm,3,RQ,True, -4093.797675353908
Tm,3,RQ,False, -4094.3852829220746
Tm,4,Matern12,True, -4072.534874628628
Tm,4,Matern12,False, -4072.9462147303248
Tm,4,Matern32,True, -4076.0313445920096
Tm,4,Matern32,False, -4076.281731899854
Tm,4,Matern52,True, -4080.542105920278
Tm,4,Matern52,False, -4080.7824292458454
Tm,4,RBF,True, -4090.6821771826867
Tm,4,RBF,False, -4091.815213172737
Tm,4,RQ,True, -4080.0291610910167
Tm,4,RQ,False, -4080.325998826774
Vc,1,Matern12,True, 614.7040173279006
Vc,1,Matern12,False, 613.4457396451902
Vc,1,Matern32,True, 631.7806988534926
Vc,1,Matern32,False, 631.1731022076581
Vc,1,Matern52,True, 606.0874005486476
Vc,1,Matern52,False, 606.0558562505064
Vc,1,RBF,True, 600.0106566256534
Vc,1,RBF,False, 599.1290705652623
Vc,1,RQ,True, 605.9557004981531
Vc,1,RQ,False, 605.6377164118978
Vc,2,Matern12,True, 511.0683876505086
Vc,2,Matern12,False, 511.0683828857648
Vc,2,Matern32,True, 490.01720586702766
Vc,2,Matern32,False, 490.0172058671035
Vc,2,Matern52,True, 484.7568818611494
Vc,2,Matern52,False, 484.75688186072034
Vc,2,RBF,True, 479.1739391557419
Vc,2,RBF,False, 479.17393915490413
Vc,2,RQ,True, 495.9311774140235
Vc,2,RQ,False, 495.9311774153148
Vc,3,Matern12,True, 659.8705637494072
Vc,3,Matern12,False, 658.0850162653337
Vc,3,Matern32,True, 665.0572225375461
Vc,3,Matern32,False, 662.2751366578989
Vc,3,Matern52,True, 660.2975721377067
Vc,3,Matern52,False, 657.7745638624251
Vc,3,RBF,True, 649.7043415452501
Vc,3,RBF,False, 620.0651462114981
Vc,3,RQ,True, 664.6683434764007
Vc,3,RQ,False, 662.185090627097
Vc,4,Matern12,True, 662.569664071327
Vc,4,Matern12,False, 660.6831686667081
Vc,4,Matern32,True, 668.6294155175108
Vc,4,Matern32,False, 665.8211106670402
Vc,4,Matern52,True, 664.8720672196503
Vc,4,Matern52,False, 662.2980460909836
Vc,4,RBF,True, 622.6299854319682
Vc,4,RBF,False, 621.0833414513955
Vc,4,RQ,True, 667.6037724726702
Vc,4,RQ,False, 665.0271318819666
