Property,Seed,LogMarginalLikelihood,TestMAPD,TrainMAPD,TestMAE,TrainMAE,TestRMSE,TrainRMSE,TestR2,TrainR2
Pc,42,-54.133016857488656,4.806152959881691,5.458131361063546,1.8601661854588252,1.9347643666402463,2.8175559819643112,3.1509113168129725,0.9451728673827483,0.9371849868293392
Pc,670487,-31.962803131225314,5.853731286886968,5.123108940623478,2.144712835413016,1.8380780972676554,3.3022130735982187,3.0077701830355665,0.9218508071524203,0.9429580968387222
Pc,116739,-55.24826070499387,5.071760819641054,5.423612736263499,2.0355817694240432,1.8974339155988749,3.0725067569800486,3.097417346867763,0.9422015508925585,0.9368511985910214
Pc,26225,-40.60337226627075,5.540118775837337,5.207533852437878,1.9898141577139397,1.871176479376267,3.1432502456058304,3.049953908848978,0.9298893042468365,0.9413458056708504
Pc,777572,-49.44681860572405,5.412980428199037,5.309621793288068,2.1439327063896596,1.8640390442185337,3.155085035093199,3.0639219755976574,0.9375934233940608,0.9388210609411757
Pc,288389,-44.28795885535294,5.587716849161766,5.2836029870290835,2.00762736785832,1.8965778596024732,3.009161967988803,3.0990008263466726,0.9351097174959422,0.9397188552193674
Pc,256787,-38.91212092799344,5.6166380537916,5.230494747183871,2.1155324376760425,1.8575692221132072,3.1846965404924985,3.05281141240548,0.9289502896703211,0.9408904566693586
Pc,234053,-38.86275626365045,5.397708509305538,5.304171120363076,2.0149344816490915,1.8933932103933058,3.220328683051773,3.0441215845646563,0.9299288217999058,0.9409229351247282
Pc,146316,-32.27377849000675,6.554639689737217,5.041074151579279,2.279127852452705,1.8304858625488798,3.4216836065394225,3.0110736792277506,0.9243663173361181,0.9418388603668172
Pc,772246,-32.38173656160291,5.949233042295084,5.117377386229871,2.229426078299859,1.8201956208738987,3.3629061699074194,2.986778066855498,0.9188373389292002,0.9436658270728414
Pc,107473,-37.76776864438273,6.243773507196336,5.126982151438686,2.085364199924502,1.8776840580957388,3.0601828581210153,3.083068446592053,0.9287075311443108,0.9411698511141555
Vc,42,662.185090627097,3.8528458872044418,2.280553922248284,18.38422304062096,8.420508694145465,36.086186041287505,11.562902946618022,0.978312012155072,0.9984066049532173
Vc,670487,665.8687520960138,4.0441270248759045,2.318050668104965,17.321425074810065,8.82343473886422,33.19858867600387,12.268663167975145,0.9815309360550601,0.9982018298154903
Vc,116739,660.9758506449714,3.9617637526721614,2.19763300151603,19.698040521636756,8.385120718551569,46.8216997125709,11.451173950466831,0.9720673308250682,0.9983467177161215
Vc,26225,643.6328609520776,3.9413235912634974,1.885093886054539,18.764615719225432,7.218848707154757,44.532389598471326,10.178995826094923,0.9731760072446867,0.998709751488914
Vc,777572,633.5630424429584,3.9817752612465633,2.2983162593505417,19.568220427259494,8.622608312917498,38.14014794887822,12.018881528415044,0.9819045692179019,0.998168881963429
Vc,288389,662.0865396315303,3.9611756265052986,2.3726230844150153,21.38403690331185,8.791452094304189,48.26123829125317,12.286169705136423,0.9689861003799666,0.9981146528940573
Vc,256787,584.8196172848625,3.642582825004466,3.297531230435581,17.58445637016836,13.714110529842442,43.3113029885417,21.717482233560478,0.9717617749819998,0.9942533728399857
Vc,234053,666.94198483666,3.9632858387862866,2.2471413247741703,17.44437366246956,8.590139340995155,35.636706130824855,11.795328347052404,0.9783529047800185,0.9983425568738706
Vc,146316,683.6767825726748,3.7626120107674077,2.510806949043838,20.68175089445068,9.280918824019404,48.927894715441575,12.832123376362839,0.9605003107031896,0.9980335781848664
Vc,772246,622.6943883404101,3.8936770843920865,2.3170863212385364,18.603851188123354,8.558235327075158,34.05495508047972,12.02436440440246,0.9837667232717605,0.9982141717501476
Vc,107473,628.5244579452519,3.5864237953128826,2.3488862807649356,15.858118605023613,8.905193941550923,31.743604791607243,12.432782727024005,0.9845530628382033,0.9981228608892762
